Question,Option A,Option B,Option C,Option D,Correct Option,Subject,Chapter,Year
Which hormone induces parturition?,Oxytocin,Estrogen,Progesterone,FSH,A,Biology,Reproduction,2018
Which of the following is the structural and functional unit of lungs?,Alveoli,Bronchioles,Trachea,Bronchi,A,Biology,Breathing,2018
Which vitamin deficiency causes Rickets?,Vitamin A,Vitamin C,Vitamin D,Vitamin B12,C,Biology,Human Health,2018
Which organ controls body temperature?,Spinal cord,Thalamus,Hypothalamus,Medulla,C,Biology,Neural Control,2018
Which enzyme breaks down proteins in the small intestine?,Pepsin,Trypsin,Amylase,Lipase,B,Biology,Digestive System,2018
Which hormone is secreted by corpus luteum?,Estrogen,Progesterone,LH,FSH,B,Biology,Reproduction,2018
What is the pH of gastric juice?,4.5,2.0,7.0,8.5,B,Biology,Digestive System,2018
Which cells are involved in bone resorption?,Osteoblasts,Osteocytes,Osteoclasts,Chondrocytes,C,Biology,Locomotion,2018
Which gland secretes cortisol?,Pituitary,Adrenal cortex,Adrenal medulla,Thyroid,B,Biology,Chemical Coordination,2018
Which part of the eye is responsible for sharp central vision?,Cornea,Lens,Retina,Fovea,D,Biology,Neural Control,2018
Which hormone increases blood sugar level?,Insulin,Glucagon,ADH,Thyroxine,B,Biology,Chemical Coordination,2018
Which protein is found in hair and nails?,Collagen,Keratin,Actin,Myosin,B,Biology,Biomolecules,2018
Which immunity is acquired by vaccination?,Natural passive,Artificial passive,Natural active,Artificial active,D,Biology,Immune System,2018
What is the function of Leydig cells?,Produce testosterone,Produce sperm,Produce FSH,Store sperm,A,Biology,Reproduction,2018
Which part of the ear helps in balance?,Cochlea,Semicircular canals,Eardrum,Pinna,B,Biology,Neural Control,2018
Which disease is caused by Plasmodium?,AIDS,Tuberculosis,Malaria,Dengue,C,Biology,Human Health,2018
Which WBC is involved in allergic response?,Neutrophils,Basophils,Monocytes,Lymphocytes,B,Biology,Immune System,2018
What is the role of oxytocin in females?,Ovum production,Milk production,Milk ejection,Menstruation,C,Biology,Reproduction,2018
Which blood component carries oxygen?,WBC,Platelets,RBC,Plasma,C,Biology,Body Fluids,2018
Which hormone controls circadian rhythm?,Adrenaline,Thyroxine,Melatonin,Insulin,C,Biology,Chemical Coordination,2018
Which structure in sperm helps in ovum penetration?,Tail,Middle piece,Acrosome,Head,C,Biology,Reproduction,2018
Which enzyme breaks down starch?,Lipase,Amylase,Pepsin,Trypsin,B,Biology,Digestive System,2018
Which type of immunity is provided by colostrum?,Natural active,Artificial passive,Natural passive,Artificial active,C,Biology,Immune System,2018
Which hormone causes ovulation?,FSH,LH,Estrogen,Progesterone,B,Biology,Reproduction,2018
Which mineral is essential for clotting of blood?,Iron,Calcium,Sodium,Potassium,B,Biology,Body Fluids,2018
Which hormone is known as emergency hormone?,Insulin,Thyroxine,Adrenaline,Cortisol,C,Biology,Chemical Coordination,2018
Which gland is known as the master gland?,Adrenal,Pituitary,Thyroid,Pineal,B,Biology,Chemical Coordination,2018
Which muscle type is multinucleated?,Cardiac,Skeletal,Smooth,All,B,Biology,Locomotion,2018
Which nitrogenous waste is least toxic?,Urea,Uric acid,Ammonia,Creatinine,B,Biology,Excretory System,2018
Which hormone promotes reabsorption of water?,Insulin,ADH,Glucagon,Thyroxine,B,Biology,Excretory System,2018
Which organ produces bile?,Gallbladder,Pancreas,Stomach,Liver,D,Biology,Digestive System,2018
Which cells form the myelin sheath?,Astrocytes,Oligodendrocytes,Ependymal cells,Microglia,B,Biology,Neural Control,2018
What is the function of peristalsis?,Absorption,Digestion,Movement of food,Secretion,C,Biology,Digestive System,2018
Which hormone is involved in milk production?,Estrogen,Oxytocin,Prolactin,LH,C,Biology,Reproduction,2018
Which part of the nephron filters blood?,Loop of Henle,Bowman's capsule,Collecting duct,PCT,B,Biology,Excretory System,2018
Which cells help in immunity by producing antibodies?,T-cells,Neutrophils,B-cells,Monocytes,C,Biology,Immune System,2018
Which joint allows movement in all directions?,Hinge joint,Ball and socket,Pivot joint,Gliding joint,B,Biology,Locomotion,2018
Which WBCs are phagocytic?,Basophils,Lymphocytes,Eosinophils,Neutrophils,D,Biology,Immune System,2018
Which part of the male reproductive system stores sperm?,Testes,Seminal vesicle,Vas deferens,Epididymis,D,Biology,Reproduction,2018
Which nerve connects eyes to brain?,Vagus,Trochlear,Optic,Facial,C,Biology,Neural Control,2018
